PlayerID,PlayerName,MilesFlown,TimeZones,ScheduleContext,RestDeficit,RecentWorkload,CumFat_IR,CumFat_PD,AgeAdjRest,USG_Pct,UsageScaledPenalty,B2B_x_USG
1629012,Collin Sexton,634.7,1.0,0 B2Bs,0,30.0,20.7,-2.07,0.0,0.2,-1.5,0.0
1629013,Landry Shamet,2766.1,5.5,1 B2Bs,1,30.3,51.7,-5.170000000000001,1.0,0.2,-1.5,0.2
1629018,Gary Trent Jr.,669.3,1.5,1 B2Bs,1,15.0,25.2,-2.52,1.0,0.2,-1.5,0.2
1629020,Jarred Vanderbilt,830.8,1.0,1 B2Bs,1,11.7,25.0,-2.5,1.0,0.2,-1.5,0.2
1629021,Moritz Wagner,2877.9,2.5,2 B2Bs,2,12.3,55.4,-5.54,2.0,0.2,-1.5,0.4
1629023,P.J. Washington,2615.6,1.0,1 B2Bs,1,29.3,49.9,-4.99,1.0,0.2,-1.5,0.2
1629026,Kenrich Williams,0.0,0.0,0 B2Bs,0,16.0,8.0,-0.8,0.0,0.2,-1.5,0.0
1629027,Trae Young,2615.3,2.5,0 B2Bs,0,21.0,34.0,-3.4000000000000004,0.0,0.2,-1.5,0.0
1629028,Deandre Ayton,830.8,1.0,0 B2Bs,0,32.7,23.8,-2.3800000000000003,0.0,0.2,-1.5,0.0
1629029,Luka Dončić,830.8,1.0,1 B2Bs,1,38.3,38.3,-3.83,1.0,0.2,-1.5,0.2
1629048,Goga Bitadze,2673.7,2.5,1 B2Bs,1,5.3,38.4,-3.84,1.0,0.2,-1.5,0.2
1629057,Robert Williams III,1834.4,2.0,0 B2Bs,0,21.3,27.2,-2.72,0.0,0.2,-1.5,0.0
1629060,Rui Hachimura,830.8,1.0,1 B2Bs,1,29.7,34.0,-3.4000000000000004,1.0,0.2,-1.5,0.2
1629111,Jock Landale,0.0,0.0,0 B2Bs,0,15.0,7.5,-0.75,0.0,0.2,-1.5,0.0
1629130,Duncan Robinson,3964.7,1.5,2 B2Bs,2,21.7,69.8,-6.98,2.0,0.2,-1.5,0.4
1629162,Jordan McLaughlin,0.0,0.0,0 B2Bs,0,2.0,1.0,-0.1,0.0,0.2,-1.5,0.0
1629216,Gabe Vincent,0.0,0.0,0 B2Bs,0,13.7,6.8,-0.68,0.0,0.2,-1.5,0.0
1629234,Drew Eubanks,0.0,0.0,1 B2Bs,1,13.0,18.2,-1.82,1.0,0.2,-1.5,0.2
1629312,Haywood Highsmith,1892.5,3.0,0 B2Bs,0,17.7,25.9,-2.59,0.0,0.2,-1.5,0.0
1629599,Amir Coffey,1496.2,3.0,1 B2Bs,1,8.3,29.3,-2.93,1.0,0.2,-1.5,0.2
1629611,Terance Mann,2416.3,0.0,0 B2Bs,0,21.0,32.2,-3.2200000000000006,0.0,0.2,-1.5,0.0
1629614,Andrew Nembhard,2707.8,4.5,1 B2Bs,1,25.7,48.9,-4.890000000000001,1.0,0.2,-1.5,0.2
1629618,Jalen Pickett,0.0,0.0,0 B2Bs,0,7.5,3.8,-0.38,0.0,0.2,-1.5,0.0
1629627,Zion Williamson,2263.9,3.0,1 B2Bs,1,29.7,46.9,-4.69,1.0,0.2,-1.5,0.2
1629628,RJ Barrett,3424.4,4.0,1 B2Bs,1,31.7,58.3,-5.83,1.0,0.2,-1.5,0.2
1629632,Coby White,3872.6,6.0,0 B2Bs,0,22.0,45.9,-4.59,0.0,0.2,-1.5,0.0
1629636,Darius Garland,1601.4,2.0,0 B2Bs,0,27.7,28.2,-2.8200000000000003,0.0,0.2,-1.5,0.0
1629637,Jaxson Hayes,830.8,1.0,1 B2Bs,1,21.0,29.6,-2.9600000000000004,1.0,0.2,-1.5,0.2
1629638,Nickeil Alexander-Walker,0.0,0.0,0 B2Bs,0,35.7,17.8,-1.7800000000000002,0.0,0.2,-1.5,0.0
1629639,Tyler Herro,1307.3,0.0,1 B2Bs,1,32.7,39.8,-3.98,1.0,0.2,-1.5,0.2
1629640,Keldon Johnson,0.0,0.0,1 B2Bs,1,22.3,22.8,-2.2800000000000002,1.0,0.2,-1.5,0.2
1629645,Kevin Porter Jr.,606.0,0.0,0 B2Bs,0,29.0,20.0,-2.0,0.0,0.2,-1.5,0.0
1629651,Nic Claxton,2384.8,0.0,1 B2Bs,1,21.0,43.6,-4.36,1.0,0.2,-1.5,0.2
1629652,Luguentz Dort,0.0,0.0,0 B2Bs,0,25.7,12.8,-1.2800000000000002,0.0,0.2,-1.5,0.0
1629655,Daniel Gafford,2119.8,1.0,0 B2Bs,0,25.0,31.6,-3.16,0.0,0.2,-1.5,0.0
1629656,Quentin Grimes,1800.1,0.0,1 B2Bs,1,33.7,44.7,-4.470000000000001,1.0,0.2,-1.5,0.2
1629660,Ty Jerome,1321.3,1.5,0 B2Bs,0,25.0,24.4,-2.44,0.0,0.2,-1.5,0.0
1629661,Cameron Johnson,3021.5,6.0,1 B2Bs,1,33.0,55.4,-5.54,1.0,0.2,-1.5,0.2
1629674,Neemias Queta,3716.8,2.5,0 B2Bs,0,25.7,46.3,-4.63,0.0,0.2,-1.5,0.0
1629675,Naz Reid,3252.4,5.0,1 B2Bs,1,27.0,54.4,-5.44,1.0,0.2,-1.5,0.2
1629680,Matisse Thybulle,1834.4,2.0,0 B2Bs,0,11.3,22.2,-2.22,0.0,0.2,-1.5,0.0
1629684,Grant Williams,4505.9,6.0,0 B2Bs,0,18.3,49.7,-4.970000000000001,0.0,0.2,-1.5,0.0
1629723,John Konchar,1874.9,2.0,0 B2Bs,0,32.0,32.9,-3.29,0.0,0.2,-1.5,0.0
1629731,Dean Wade,1857.1,1.0,1 B2Bs,1,19.3,38.0,-3.8000000000000003,1.0,0.2,-1.5,0.2
1629750,Javonte Green,3964.7,1.5,2 B2Bs,2,21.0,69.5,-6.95,2.0,0.2,-1.5,0.4
1630162,Anthony Edwards,3252.4,5.0,1 B2Bs,1,36.3,59.1,-5.91,1.0,0.2,-1.5,0.2
1630163,LaMelo Ball,4728.1,6.0,1 B2Bs,1,25.0,66.7,-6.670000000000001,1.0,0.2,-1.5,0.2
1630165,Killian Hayes,361.4,0.0,1 B2Bs,1,20.3,25.1,-2.5100000000000002,1.0,0.2,-1.5,0.2
1630166,Deni Avdija,0.0,0.0,0 B2Bs,0,30.3,15.2,-1.52,0.0,0.2,-1.5,0.0
1630167,Obi Toppin,3193.8,4.5,0 B2Bs,0,14.0,35.7,-3.5700000000000003,0.0,0.2,-1.5,0.0
1630168,Onyeka Okongwu,0.0,0.0,0 B2Bs,0,30.0,15.0,-1.5,0.0,0.2,-1.5,0.0
1630170,Devin Vassell,0.0,0.0,1 B2Bs,1,32.7,28.0,-2.8000000000000003,1.0,0.2,-1.5,0.2
1630171,Isaac Okoro,634.7,1.0,0 B2Bs,0,30.0,20.7,-2.07,0.0,0.2,-1.5,0.0
1630172,Patrick Williams,361.4,0.0,0 B2Bs,0,20.0,13.3,-1.33,0.0,0.2,-1.5,0.0
1630173,Precious Achiuwa,361.4,0.0,1 B2Bs,1,29.0,29.4,-2.94,1.0,0.2,-1.5,0.2
1630174,Aaron Nesmith,3193.8,4.5,0 B2Bs,0,31.3,44.4,-4.44,0.0,0.2,-1.5,0.0
1630178,Tyrese Maxey,0.0,0.0,0 B2Bs,0,38.0,19.0,-1.9000000000000001,0.0,0.2,-1.5,0.0
1630180,Saddiq Bey,2263.9,3.0,1 B2Bs,1,29.0,46.5,-4.65,1.0,0.2,-1.5,0.2
1630182,Josh Green,4728.1,6.0,1 B2Bs,1,16.7,62.6,-6.260000000000001,1.0,0.2,-1.5,0.2
1630183,Jaden McDaniels,3252.4,5.0,1 B2Bs,1,25.7,53.8,-5.38,1.0,0.2,-1.5,0.2
1630188,Jalen Smith,419.5,0.0,0 B2Bs,0,28.0,17.8,-1.7800000000000002,0.0,0.2,-1.5,0.0
1630191,Isaiah Stewart,3964.7,1.5,2 B2Bs,2,21.0,69.5,-6.95,2.0,0.2,-1.5,0.4
1630192,Zeke Nnaji,0.0,0.0,1 B2Bs,1,13.0,18.2,-1.82,1.0,0.2,-1.5,0.2
1630193,Immanuel Quickley,3424.4,4.0,1 B2Bs,1,35.0,60.0,-6.0,1.0,0.2,-1.5,0.2
1630194,Paul Reed,2717.0,1.5,1 B2Bs,1,8.0,40.1,-4.010000000000001,1.0,0.2,-1.5,0.2
1630198,Isaiah Joe,0.0,0.0,0 B2Bs,0,22.0,11.0,-1.1,0.0,0.2,-1.5,0.0
1630200,Tre Jones,1054.2,1.0,1 B2Bs,1,31.7,37.0,-3.7,1.0,0.2,-1.5,0.2
1630202,Payton Pritchard,2992.1,2.5,0 B2Bs,0,34.7,44.3,-4.43,0.0,0.2,-1.5,0.0
1630208,Nick Richards,1054.2,1.0,1 B2Bs,1,28.0,35.2,-3.5200000000000005,1.0,0.2,-1.5,0.2
1630214,Xavier Tillman,0.0,0.0,0 B2Bs,0,14.0,7.0,-0.7000000000000001,0.0,0.2,-1.5,0.0
1630217,Desmond Bane,2877.9,2.5,2 B2Bs,2,37.7,68.1,-6.81,2.0,0.2,-1.5,0.4
1630224,Jalen Green,2146.3,3.0,2 B2Bs,2,34.0,59.6,-5.960000000000001,2.0,0.2,-1.5,0.4
1630228,Jonathan Kuminga,0.0,0.0,0 B2Bs,0,19.0,9.5,-0.9500000000000001,0.0,0.2,-1.5,0.0
1630230,Naji Marshall,3035.5,1.0,2 B2Bs,2,26.7,64.0,-6.4,2.0,0.2,-1.5,0.4
1630241,Sam Merrill,895.4,0.0,1 B2Bs,1,26.7,33.1,-3.3100000000000005,1.0,0.2,-1.5,0.2
1630245,Ayo Dosunmu,3252.4,5.0,0 B2Bs,0,28.0,43.3,-4.33,0.0,0.2,-1.5,0.0
1630249,Vít Krejčí,1834.4,2.0,0 B2Bs,0,16.3,24.7,-2.47,0.0,0.2,-1.5,0.0
1630264,Anthony Gill,2955.5,2.5,0 B2Bs,0,15.7,34.4,-3.44,0.0,0.2,-1.5,0.0
1630311,Pat Spencer,1873.9,2.0,1 B2Bs,1,20.7,38.9,-3.89,1.0,0.2,-1.5,0.2
1630314,Brandon Williams,1919.3,1.0,1 B2Bs,1,22.3,40.1,-4.010000000000001,1.0,0.2,-1.5,0.2
1630322,Lindy Waters III,0.0,0.0,1 B2Bs,1,3.0,13.2,-1.32,1.0,0.2,-1.5,0.2
1630529,Herbert Jones,2263.9,3.0,1 B2Bs,1,29.3,46.7,-4.670000000000001,1.0,0.2,-1.5,0.2
1630530,Trey Murphy III,2263.9,3.0,1 B2Bs,1,33.3,48.7,-4.870000000000001,1.0,0.2,-1.5,0.2
1630533,Ziaire Williams,1722.0,0.0,0 B2Bs,0,24.0,27.5,-2.75,0.0,0.2,-1.5,0.0
1630534,Ochai Agbaji,1639.0,0.0,0 B2Bs,0,17.7,23.6,-2.3600000000000003,0.0,0.2,-1.5,0.0
1630536,Sharife Cooper,2955.5,2.5,0 B2Bs,0,8.7,30.9,-3.09,0.0,0.2,-1.5,0.0
1630538,Bones Hyland,3252.4,5.0,1 B2Bs,1,13.3,47.6,-4.760000000000001,1.0,0.2,-1.5,0.2
1630543,Isaiah Jackson,2230.0,2.0,2 B2Bs,2,19.3,53.1,-5.3100000000000005,2.0,0.2,-1.5,0.4
1630544,Tre Mann,0.0,0.0,0 B2Bs,0,2.0,1.0,-0.1,0.0,0.2,-1.5,0.0
1630545,Terrence Shannon Jr.,2702.4,5.0,1 B2Bs,1,7.3,39.7,-3.9700000000000006,1.0,0.2,-1.5,0.2
1630549,Day'Ron Sharpe,1639.0,0.0,0 B2Bs,0,19.0,24.3,-2.43,0.0,0.2,-1.5,0.0
1630551,Justin Champagnie,1320.4,0.0,0 B2Bs,0,18.7,21.2,-2.12,0.0,0.2,-1.5,0.0
1630552,Jalen Johnson,0.0,0.0,0 B2Bs,0,36.3,18.2,-1.82,0.0,0.2,-1.5,0.0
1630557,Corey Kispert,0.0,0.0,0 B2Bs,0,16.7,8.3,-0.8300000000000001,0.0,0.2,-1.5,0.0
1630558,Davion Mitchell,1307.3,0.0,1 B2Bs,1,25.7,36.3,-3.63,1.0,0.2,-1.5,0.2
1630559,Austin Reaves,830.8,1.0,1 B2Bs,1,41.0,39.6,-3.9600000000000004,1.0,0.2,-1.5,0.2
1630560,Cam Thomas,1876.2,1.5,1 B2Bs,1,11.3,34.2,-3.4200000000000004,1.0,0.2,-1.5,0.2
1630567,Scottie Barnes,3424.4,4.0,1 B2Bs,1,34.3,59.7,-5.970000000000001,1.0,0.2,-1.5,0.2
1630568,Luka Garza,3716.8,2.5,0 B2Bs,0,20.0,43.5,-4.3500000000000005,0.0,0.2,-1.5,0.0
